id,product,category,nova,nutriscore,additiveTiers,processing,nutrition,additives,score,band,notes,reviewer_agree(Y/N),reviewer_comment
1,Extra-virgin olive oil,Oil,1,c,,100,50,100,83,high,"Whole-food fat; Nutri-Score dings fat, processing pristine",,
2,Fresh banana,Fruit,1,a,,100,90,100,97,high,Baseline whole food,,
3,Raw almonds,Nuts,1,a,,100,90,100,97,high,,,
4,Rolled oats (plain),Grain,1,a,,100,90,100,97,high,,,
5,White rice,Grain,1,a,,100,90,100,97,high,,,
6,Frozen peas (plain),Vegetable,1,a,,100,90,100,97,high,,,
7,Whole milk,Dairy,1,b,,100,70,100,90,high,,,
8,Plain Greek yogurt,Dairy,1,a,,100,90,100,97,high,,,
9,Sparkling water (plain),Beverage,1,a,,100,90,100,97,high,CONTRAST to diet soda → should score high,,
10,Honey (pure),Sweetener,1,d,,100,30,100,76,high,Whole but high sugar,,
11,Pure maple syrup,Sweetener,1,d,,100,30,100,76,high,,,
12,Natural peanut butter (peanuts only),Spread,2,c,,80,50,100,73,mid,,,
13,Butter,Dairy fat,3,d,,55,30,100,53,mid,Sat fat dings nutrition,,
14,Cheddar cheese,Dairy,3,d,,55,30,100,53,mid,EDGE: nutrient-dense; compare vs sugary cereal,,
15,Canned chickpeas,Legume,3,a,,55,90,100,74,mid,,,
16,Hummus,Spread,3,b,low,55,70,100,67,mid,,,
17,Tofu,Protein,3,b,,55,70,100,67,mid,,,
18,Sourdough bread (artisan),Bakery,3,c,,55,50,100,60,mid,,,
19,Salted roasted peanuts,Nuts,3,b,low,55,70,100,67,mid,,,
20,Dark chocolate 85%,Confectionery,3,d,low,55,30,100,53,mid,,,
21,Potato chips (plain salted),Snack,3,d,,55,30,100,53,mid,,,
22,Ketchup,Condiment,4,d,low,20,30,100,36,low,,,
23,Mustard,Condiment,3,b,,55,70,100,67,mid,,,
24,Kombucha,Beverage,3,b,,55,70,100,67,mid,,,
25,100% orange juice,Beverage,1,c,,100,50,100,83,high,Whole but sugar-heavy,,
26,Oat milk (fortified),Beverage,4,b,low|low,20,70,100,50,mid,,,
27,Diet cola (sweeteners),Beverage,4,c,moderate|moderate|moderate|low,20,50,88,41,low,EDGE: OK nutrition but NOVA4 + additives → should score LOW (anti-Yuka),,
28,Regular cola,Beverage,4,e,low|low,20,12,100,29,low,,,
29,Energy drink,Beverage,4,e,moderate|moderate|low,20,12,91,28,low,,,
30,Sports drink,Beverage,4,d,moderate|low,20,30,94,35,low,,,
31,Multigrain Cheerios (fortified),Cereal,4,b,low,20,70,100,50,mid,EDGE: compare vs Froot Loops,,
32,Froot Loops (sugary cereal),Cereal,4,e,higher|moderate|moderate,20,12,76,26,low,Colours + BHT,,
33,Granola (sweetened),Cereal,4,c,,20,50,100,43,low,,,
34,Instant ramen noodles,Meal,4,e,moderate|moderate|low,20,12,91,28,low,,,
35,Canned condensed soup,Meal,4,d,moderate|low,20,30,94,35,low,,,
36,Frozen pizza,Meal,4,d,moderate|low|low,20,30,94,35,low,,,
37,Milk chocolate bar,Confectionery,4,e,low,20,12,100,29,low,Emulsifier = low concern,,
38,Flavoured fruit yogurt,Dairy,4,c,low|moderate,20,50,94,42,low,,,
39,Protein bar,Snack,4,c,moderate|low,20,50,94,42,low,,,
40,Doritos (flavoured chips),Snack,4,d,moderate|moderate|low,20,30,91,34,low,MSG + colours,,
41,Refined crackers,Snack,4,c,low,20,50,100,43,low,,,
42,White sandwich bread (industrial),Bakery,4,c,low|low,20,50,100,43,low,,,
43,Ice cream,Dessert,4,d,low|low,20,30,100,36,low,,,
44,Deli ham (cured),Meat,4,d,higher|moderate,20,30,79,32,low,EDGE: nitrite=higher concern but floor(30) prevents tanking,,
45,Bacon,Meat,4,e,higher,20,12,85,27,low,nitrite,,
46,Chicken sausages,Meat,4,d,moderate|low,20,30,94,35,low,,,
47,Peanut butter w/ sugar + palm oil,Spread,4,c,low,20,50,100,43,low,,,
48,Baby food fruit puree,Baby,3,a,,55,90,100,74,mid,,,
49,Margarine spread,Dairy fat,4,c,low|low,20,50,100,43,low,,,
50,Canned tuna in water,Protein,3,a,,55,90,100,74,mid,,,
